Author|Title|wordCount|$Freq|'Freq|"Freq|(Freq|)Freq|,Freq|--Freq|?Freq|!Freq|.Freq|:Freq|;Freq|...Freq|CCFreq|CDFreq|DTFreq|EXFreq|FWFreq|INFreq|JJFreq|JJRFreq|JJSFreq|LSFreq|MDFreq|NNFreq|NNPFreq|NNPSFreq|NNSFreq|PDTFreq|POSFreq|PRPFreq|PRP$Freq|RBFreq|RBRFreq|RBSFreq|RPFreq|SYMFreq|TOFreq|UHFreq|VBFreq|VBDFreq|VBGFreq|VBNFreq|VBPFreq|VBZFreq|WDTFreq|WPFreq|WP$Freq|WRBFreq|numLines|avgLineLength|1SGNFreq|2SGNFreq|3SGMFreq|3SGFFreq|3SGNFreq|1PLNFreq|2PLNFreq|3PLNFreq|contractionsFreq|avgWordLength
math|origin|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|wc|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|$   |0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|'   |0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|"   |0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|(   |0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
math|)   |0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0|0.0|0.0|0|0|0|0.0|0.0|0.0|0.0|0|0.0|0|0|0|0|0|0|0.0|0|0.0|0|0.0|0|0.0|0.0|0|0.0|0|0.0|0.0|0|0.0|0
******
